page_id,url,title,page_type,category,avg_views,avg_edits,words,creation_year,description
32342938,en.wikipedia.org/wiki/Gwendoline_Christie,Gwendoline_Christie,biography,"arts, culture and entertainment",124895,6,1294,2011,English actress and model
54648168,en.wikipedia.org/wiki/The_Spoils_of_War_(Game_of_Thrones),The_Spoils_of_War_(Game_of_Thrones),other,"arts, culture and entertainment",21773,9,3339,2017,episode of Game of Thrones (S7 E4)
978203,en.wikipedia.org/wiki/Flag_of_India,Flag_of_India,other,history and geography,125775,5,5020,2004,national flag of the Republic of India
31045316,en.wikipedia.org/wiki/Nazism,Nazism,biography,history and geography,131276,18,17204,2001,Ideology of the regime that ruled Germany from 1933 to 1945
6476885,en.wikipedia.org/wiki/Test_data,Test_data,other,STEM,40396,0,346,2006,
55140572,en.wikipedia.org/wiki/Hurricane_Irma,Hurricane_Irma,other,history and geography,95279,27,11029,2017,Category 5 Atlantic hurricane in 2017
5826415,en.wikipedia.org/wiki/Bookmark,Bookmark,other,"arts, culture and entertainment",41206,1,667,2006,"thin marker, commonly made of card, leather, or fabric, used to keep the reader's place in a book and to enable the reader to return to it with ease"
37009866,en.wikipedia.org/wiki/Deferred_Action_for_Childhood_Arrivals,Deferred_Action_for_Childhood_Arrivals,other,history and geography,109621,21,7911,2012,Obama administration immigration policy that protects from deportation certain undocumented immigrants to the United States who entered the country as minors
28220624,en.wikipedia.org/wiki/It_(character),It_(character),other,"arts, culture and entertainment",136430,27,1322,2010,main antagonist of Stephen King's novel It
38113551,en.wikipedia.org/wiki/2017_Atlantic_hurricane_season,2017_Atlantic_hurricane_season,other,STEM,75304,123,9646,2013,hurricane season in the Atlantic Ocean
49966069,en.wikipedia.org/wiki/Kingsman:_The_Golden_Circle,Kingsman:_The_Golden_Circle,other,"arts, culture and entertainment",195060,23,3472,2015,2017 film by Matthew Vaughn
46521350,en.wikipedia.org/wiki/It_(miniseries),It_(miniseries),other,"arts, culture and entertainment",97995,31,11514,2004,1990 psychological slasher/drama series directed by Tommy Lee Wallace
1918632,en.wikipedia.org/wiki/Rohingya_people,Rohingya_people,other,history and geography,87571,24,11637,2005,Myanmar origin people
55112543,en.wikipedia.org/wiki/Narcos_(season_3),Narcos_(season_3),other,"arts, culture and entertainment",99814,2,147,2017,season of television series
12687484,en.wikipedia.org/wiki/Hélmer_Herrera,Hélmer_Herrera,biography,history and geography,87678,2,1121,2007,Colombian drug trafficker
1240210,en.wikipedia.org/wiki/Gilberto_Rodríguez_Orejuela,Gilberto_Rodríguez_Orejuela,biography,history and geography,78393,2,663,2004,"Colombian drug lord, formerly one of the leaders of the Cali Cartel"
48442701,en.wikipedia.org/wiki/Star_Trek:_Discovery,Star_Trek:_Discovery,other,"arts, culture and entertainment",285215,49,7806,2015,American television series based on Star Trek
54021228,en.wikipedia.org/wiki/No_Mercy_(2017),No_Mercy_(2017),other,"arts, culture and entertainment",49252,17,2892,2017,No Mercy PPV
19457,en.wikipedia.org/wiki/Myanmar,Myanmar,other,history and geography,284455,29,14219,2001,sovereign state in Southeast Asia
55220682,en.wikipedia.org/wiki/Wikipedia:New_user_landing_page,Wikipedia:New_user_landing_page,other,internet and game,104929,0,9,2017,
255313,en.wikipedia.org/wiki/Saffir–Simpson_scale,Saffir–Simpson_scale,other,STEM,53960,21,2510,2003,System of classifying tropical cyclones into five categories based on measured wind speed and used to estimate potential damage
7844543,en.wikipedia.org/wiki/Miguel_Rodríguez_Orejuela,Miguel_Rodríguez_Orejuela,biography,history and geography,56120,1,454,2006,Colombian drug trafficker
25579014,en.wikipedia.org/wiki/Sloane_Stephens,Sloane_Stephens,biography,sport,50462,20,7590,2009,American tennis player
21793159,en.wikipedia.org/wiki/Crystal_Hefner,Crystal_Hefner,biography,"arts, culture and entertainment",40145,3,383,2009,"American glamour model, singer, DJ, and television personality"
2385602,en.wikipedia.org/wiki/José_Santacruz_Londoño,José_Santacruz_Londoño,biography,history and geography,46815,1,410,2005,Colombian drug trafficker
534636,en.wikipedia.org/wiki/Stellan_Skarsgård,Stellan_Skarsgård,biography,"arts, culture and entertainment",216475,6,905,2004,Swedish actor
1951074,en.wikipedia.org/wiki/Antoine-Augustin_Parmentier,Antoine-Augustin_Parmentier,biography,other,22626,1,912,2005,promoter of the potato as a food source for humans in France and throughout Europe (1737-1813)
51336,en.wikipedia.org/wiki/Barbuda,Barbuda,other,history and geography,21505,7,1896,2002,island in Antigua and Barbuda
48594,en.wikipedia.org/wiki/Samuel_Johnson,Samuel_Johnson,biography,"arts, culture and entertainment",51721,8,10155,2002,"English poet, biographer, essayist, lexicographer (1709-1784)"
163146,en.wikipedia.org/wiki/Harry_Dean_Stanton,Harry_Dean_Stanton,biography,"arts, culture and entertainment",73039,6,1174,2002,"American actor, musician, and singer (1926-2017)"
770424,en.wikipedia.org/wiki/Barry_Seal,Barry_Seal,biography,history and geography,170571,10,3686,2004,"American smuggler of drugs and arms, airplane pilot, and money launderer"
113080,en.wikipedia.org/wiki/Billie_Jean_King,Billie_Jean_King,biography,sport,125844,10,11386,2002,American tennis player
47327116,en.wikipedia.org/wiki/Baadshaho,Baadshaho,other,"arts, culture and entertainment",60742,16,943,2015,2017 film by Milan Luthria
51358237,en.wikipedia.org/wiki/The_Orville,The_Orville,other,"arts, culture and entertainment",191098,40,1968,2016,American television series
399404,en.wikipedia.org/wiki/Christie_Hefner,Christie_Hefner,biography,history and geography,35249,2,697,2003,former chairwoman and chief executive officer of Playboy Enterprises
45077471,en.wikipedia.org/wiki/American_Made_(film),American_Made_(film),other,"arts, culture and entertainment",137679,12,2066,2015,2017 film by Doug Liman
55149995,en.wikipedia.org/wiki/Gauri_Lankesh,Gauri_Lankesh,biography,"arts, culture and entertainment",36377,7,1879,2017,Indian Kannada-language journalist-activist
60278763,en.wikipedia.org/wiki/Jaeden_Lieberher,Jaeden_Lieberher,other,"arts, culture and entertainment",42992,0,341,2019,
23628301,en.wikipedia.org/wiki/Madison_Keys,Madison_Keys,biography,sport,41382,15,7359,2009,US female tennis player
2588836,en.wikipedia.org/wiki/List_of_Category_5_Atlantic_hurricanes,List_of_Category_5_Atlantic_hurricanes,other,STEM,43691,17,1037,2005,Wikimedia list article
8282374,en.wikipedia.org/wiki/Tropical_cyclone,Tropical_cyclone,other,STEM,98876,13,7884,2002,rapidly rotating storm system
